travel_time,travel_from,car_type,max_capacity,number_of_tickets,hours_daytime,minutes_daytime,days of week,year,minute
310,305.1,11,11,11.0,5,10,6,2018,4
1144,305.1,49,49,1.0,19,4,6,2018,4
424,305.1,49,49,1.0,7,4,6,2018,4
400,305.1,11,11,1.0,6,40,6,2018,4
330,305.1,11,11,1.0,5,30,6,2018,4
310,305.1,11,11,9.0,5,10,5,2018,4
320,305.1,11,11,6.0,5,20,5,2018,4
419,305.1,49,49,1.0,6,59,5,2018,4
426,305.1,49,49,5.0,7,6,5,2018,4
428,370.4,49,49,3.0,7,8,0,2017,11
340,305.1,11,11,1.0,5,40,5,2018,4
330,305.1,11,11,2.0,5,30,5,2018,4
320,305.1,11,11,11.0,5,20,4,2018,4
300,305.1,11,11,1.0,5,0,4,2018,4
310,305.1,11,11,4.0,5,10,4,2018,4
540,305.1,11,11,1.0,9,0,4,2018,4
426,305.1,49,49,1.0,7,6,4,2018,4
434,305.1,49,49,1.0,7,14,4,2018,4
427,305.1,49,49,1.0,7,7,4,2018,4
330,305.1,11,11,1.0,5,30,4,2018,4
300,305.1,11,11,11.0,5,0,1,2018,12
320,305.1,11,11,11.0,5,20,1,2018,12
390,279.4,11,11,1.0,6,30,0,2017,11
390,17.4,11,11,1.0,6,30,0,2017,11
435,370.4,49,49,11.0,7,15,0,2017,11
424,361.8,49,49,5.0,7,4,0,2017,11
310,305.1,11,11,11.0,5,10,1,2018,12
428,305.1,49,49,1.0,7,8,1,2018,12
480,305.1,49,49,1.0,8,0,1,2018,12
426,305.1,49,49,1.0,7,6,1,2018,12
434,305.1,49,49,1.0,7,14,1,2018,12
590,305.1,11,11,1.0,9,50,1,2018,12
450,305.1,11,11,1.0,7,30,1,2018,12
657,305.1,11,11,1.0,10,57,1,2018,12
330,305.1,11,11,1.0,5,30,1,2018,12
320,305.1,11,11,1.0,5,20,6,2018,11
310,305.1,11,11,8.0,5,10,6,2018,11
300,305.1,11,11,1.0,5,0,6,2018,11
510,279.4,11,11,1.0,8,30,1,2017,11
422,305.1,49,49,1.0,7,2,6,2018,11
590,305.1,11,11,3.0,9,50,6,2018,11
661,305.1,11,11,1.0,11,1,6,2018,11
390,305.1,11,11,1.0,6,30,6,2018,11
431,305.1,49,49,1.0,7,11,6,2018,11
658,305.1,11,11,1.0,10,58,6,2018,11
330,305.1,11,11,1.0,5,30,6,2018,11
432,370.4,49,49,11.0,7,12,1,2017,11
429,361.8,49,49,10.0,7,9,1,2017,11
310,305.1,11,11,6.0,5,10,3,2018,10
300,305.1,11,11,1.0,5,0,3,2018,10
426,305.1,49,49,6.0,7,6,3,2018,10
400,305.1,11,11,1.0,6,40,3,2018,10
426,279.4,49,49,1.0,7,6,1,2017,11
340,305.1,11,11,1.0,5,40,3,2018,10
360,305.1,11,11,1.0,6,0,3,2018,10
330,305.1,11,11,1.0,5,30,3,2018,10
310,305.1,11,11,2.0,5,10,1,2018,9
300,305.1,11,11,1.0,5,0,1,2018,9
426,305.1,49,49,2.0,7,6,1,2018,9
1143,305.1,49,49,1.0,19,3,1,2018,9
390,305.1,11,11,2.0,6,30,1,2018,9
330,305.1,11,11,1.0,5,30,1,2018,9
310,305.1,11,11,2.0,5,10,5,2018,8
426,305.1,49,49,4.0,7,6,5,2018,8
550,305.1,11,11,1.0,9,10,5,2018,8
423,305.1,49,49,1.0,7,3,5,2018,8
330,305.1,11,11,1.0,5,30,5,2018,8
424,305.1,49,49,1.0,7,4,5,2018,8
428,370.4,49,49,3.0,7,8,1,2017,11
426,305.1,49,49,1.0,7,6,2,2018,7
418,305.1,11,11,1.0,6,58,2,2018,7
400,305.1,11,11,1.0,6,40,2,2018,7
390,305.1,11,11,2.0,6,30,2,2018,7
665,305.1,11,11,1.0,11,5,2,2018,7
620,279.4,11,11,1.0,10,20,1,2017,11
330,305.1,11,11,1.0,5,30,2,2018,7
310,305.1,11,11,5.0,5,10,0,2018,6
426,305.1,49,49,2.0,7,6,0,2018,6
350,305.1,11,11,1.0,5,50,0,2018,6
330,305.1,11,11,1.0,5,30,0,2018,6
300,305.1,11,11,1.0,5,0,4,2018,5
310,305.1,11,11,8.0,5,10,4,2018,5
427,305.1,49,49,2.0,7,7,4,2018,5
426,305.1,49,49,1.0,7,6,4,2018,5
1145,305.1,49,49,1.0,19,5,4,2018,5
330,305.1,11,11,1.0,5,30,4,2018,5
428,305.1,49,49,1.0,7,8,2,2018,4
426,305.1,49,49,1.0,7,6,2,2018,4
360,305.1,11,11,1.0,6,0,2,2018,4
330,305.1,11,11,1.0,5,30,2,2018,4
426,305.1,49,49,1.0,7,6,6,2018,3
427,305.1,49,49,1.0,7,7,6,2018,3
653,305.1,11,11,1.0,10,53,6,2018,3
340,305.1,11,11,1.0,5,40,6,2018,3
440,305.1,11,11,1.0,7,20,6,2018,3
330,305.1,11,11,1.0,5,30,6,2018,3
300,305.1,11,11,1.0,5,0,6,2018,2
426,305.1,49,49,2.0,7,6,6,2018,2
432,305.1,49,49,1.0,7,12,6,2018,2
330,305.1,11,11,1.0,5,30,6,2018,2
424,361.8,49,49,4.0,7,4,1,2017,11
426,305.1,49,49,1.0,7,6,3,2018,1
590,305.1,11,11,2.0,9,50,3,2018,1
330,305.1,11,11,1.0,5,30,3,2018,1
424,305.1,49,49,1.0,7,4,5,2018,3
426,305.1,49,49,1.0,7,6,5,2018,3
600,305.1,11,11,1.0,10,0,5,2018,3
530,305.1,11,11,1.0,8,50,5,2018,3
651,305.1,11,11,1.0,10,51,5,2018,3
330,305.1,11,11,1.0,5,30,5,2018,3
300,305.1,11,11,1.0,5,0,4,2018,3
422,305.1,49,49,1.0,7,2,4,2018,3
654,305.1,11,11,1.0,10,54,4,2018,3
340,305.1,11,11,1.0,5,40,4,2018,3
620,305.1,11,11,1.0,10,20,4,2018,3
330,305.1,11,11,1.0,5,30,4,2018,3
650,305.1,11,11,1.0,10,50,4,2018,3
300,305.1,11,11,2.0,5,0,3,2018,3
310,305.1,11,11,1.0,5,10,3,2018,3
426,305.1,49,49,2.0,7,6,3,2018,3
590,305.1,11,11,1.0,9,50,3,2018,3
330,305.1,11,11,2.0,5,30,3,2018,3
421,305.1,49,49,1.0,7,1,3,2018,3
310,305.1,11,11,1.0,5,10,2,2018,3
300,305.1,11,11,1.0,5,0,2,2018,3
426,305.1,49,49,2.0,7,6,2,2018,3
620,305.1,11,11,1.0,10,20,2,2018,3
530,305.1,11,11,1.0,8,50,2,2018,3
400,305.1,11,11,1.0,6,40,2,2018,3
420,305.1,11,11,1.0,7,0,2,2018,3
330,305.1,11,11,1.0,5,30,2,2018,3
300,305.1,11,11,1.0,5,0,1,2018,3
426,305.1,49,49,2.0,7,6,1,2018,3
422,305.1,49,49,1.0,7,2,1,2018,3
410,305.1,11,11,1.0,6,50,1,2018,3
427,305.1,49,49,1.0,7,7,1,2018,3
370,305.1,11,11,1.0,6,10,1,2018,3
330,279.4,11,11,1.0,5,30,2,2017,11
330,305.1,11,11,1.0,5,30,1,2018,3
380,305.1,11,11,4.0,6,20,1,2018,3
300,305.1,11,11,2.0,5,0,0,2018,3
1143,305.1,49,49,1.0,19,3,0,2018,3
426,305.1,49,49,2.0,7,6,0,2018,3
370,305.1,11,11,1.0,6,10,0,2018,3
400,305.1,11,11,1.0,6,40,0,2018,3
450,305.1,11,11,1.0,7,30,0,2018,3
330,305.1,11,11,1.0,5,30,0,2018,3
360,305.1,11,11,1.0,6,0,0,2018,3
300,305.1,11,11,5.0,5,0,6,2018,3
426,305.1,49,49,3.0,7,6,6,2018,3
400,305.1,11,11,1.0,6,40,6,2018,3
530,305.1,11,11,1.0,8,50,6,2018,3
654,305.1,11,11,1.0,10,54,6,2018,3
610,305.1,11,11,1.0,10,10,6,2018,3
662,305.1,11,11,1.0,11,2,6,2018,3
440,305.1,11,11,1.0,7,20,6,2018,3
330,305.1,11,11,1.0,5,30,6,2018,3
300,305.1,11,11,1.0,5,0,5,2018,3
426,305.1,49,49,2.0,7,6,5,2018,3
480,305.1,49,49,2.0,8,0,5,2018,3
425,329.8,49,49,4.0,7,5,2,2017,11
580,305.1,11,11,1.0,9,40,5,2018,3
500,305.1,11,11,1.0,8,20,5,2018,3
330,305.1,11,11,1.0,5,30,5,2018,3
310,305.1,11,11,1.0,5,10,4,2018,3
1145,305.1,49,49,1.0,19,5,4,2018,3
480,305.1,49,49,1.0,8,0,4,2018,3
424,305.1,49,49,3.0,7,4,4,2018,3
350,305.1,11,11,1.0,5,50,4,2018,3
418,305.1,11,11,1.0,6,58,4,2018,3
510,305.1,11,11,1.0,8,30,4,2018,3
427,305.1,49,49,1.0,7,7,4,2018,3
330,305.1,11,11,1.0,5,30,4,2018,3
310,305.1,11,11,2.0,5,10,3,2018,3
300,305.1,11,11,1.0,5,0,3,2018,3
426,305.1,49,49,5.0,7,6,3,2018,3
550,305.1,11,11,4.0,9,10,3,2018,3
360,305.1,11,11,2.0,6,0,3,2018,3
340,305.1,11,11,1.0,5,40,3,2018,3
370,305.1,11,11,3.0,6,10,3,2018,3
330,305.1,11,11,1.0,5,30,3,2018,3
400,305.1,11,11,1.0,6,40,3,2018,3
400,305.1,11,11,1.0,6,40,2,2018,3
426,305.1,49,49,6.0,7,6,2,2018,3
434,329.8,49,49,1.0,7,14,2,2017,11
424,305.1,49,49,1.0,7,4,2,2018,3
330,305.1,11,11,1.0,5,30,2,2018,3
310,305.1,11,11,1.0,5,10,2,2018,3
310,305.1,11,11,3.0,5,10,1,2018,3
424,329.8,49,49,1.0,7,4,2,2017,11
570,305.1,11,11,1.0,9,30,1,2018,3
500,305.1,11,11,1.0,8,20,1,2018,3
432,305.1,49,49,1.0,7,12,1,2018,3
530,305.1,11,11,1.0,8,50,1,2018,3
426,305.1,49,49,1.0,7,6,1,2018,3
470,305.1,11,11,1.0,7,50,1,2018,3
435,305.1,49,49,1.0,7,15,1,2018,3
330,305.1,11,11,1.0,5,30,1,2018,3
428,305.1,49,49,1.0,7,8,1,2018,3
310,305.1,11,11,1.0,5,10,0,2018,3
424,361.8,49,49,11.0,7,4,2,2017,11
432,370.4,49,49,6.0,7,12,2,2017,11
426,305.1,49,49,2.0,7,6,0,2018,3
340,305.1,11,11,1.0,5,40,0,2018,3
427,305.1,49,49,1.0,7,7,0,2018,3
350,305.1,11,11,1.0,5,50,0,2018,3
330,305.1,11,11,1.0,5,30,0,2018,3
428,370.4,49,49,1.0,7,8,2,2017,11
300,305.1,11,11,1.0,5,0,6,2018,3
435,370.4,49,49,8.0,7,15,2,2017,11
426,305.1,49,49,2.0,7,6,6,2018,3
651,305.1,11,11,2.0,10,51,6,2018,3
330,305.1,11,11,2.0,5,30,6,2018,3
426,279.4,49,49,1.0,7,6,2,2017,11
429,361.8,49,49,5.0,7,9,2,2017,11
426,305.1,49,49,3.0,7,6,5,2018,3
550,305.1,11,11,1.0,9,10,5,2018,3
424,305.1,49,49,1.0,7,4,5,2018,3
340,305.1,11,11,1.0,5,40,5,2018,3
330,305.1,11,11,1.0,5,30,5,2018,3
320,305.1,11,11,1.0,5,20,5,2018,3
350,305.1,11,11,1.0,5,50,4,2018,3
427,305.1,49,49,24.0,7,7,4,2018,3
656,305.1,11,11,5.0,10,56,4,2018,3
657,305.1,11,11,1.0,10,57,4,2018,3
655,305.1,11,11,9.0,10,55,4,2018,3
654,305.1,11,11,10.0,10,54,4,2018,3
653,305.1,11,11,8.0,10,53,4,2018,3
652,305.1,11,11,8.0,10,52,4,2018,3
651,305.1,11,11,9.0,10,51,4,2018,3
428,329.8,49,49,2.0,7,8,3,2017,11
390,17.4,11,11,1.0,6,30,3,2017,11
650,305.1,11,11,7.0,10,50,4,2018,3
426,305.1,49,49,6.0,7,6,4,2018,3
435,370.4,49,49,2.0,7,15,3,2017,11
432,370.4,49,49,1.0,7,12,3,2017,11
640,305.1,11,11,8.0,10,40,4,2018,3
630,305.1,11,11,8.0,10,30,4,2018,3
620,305.1,11,11,10.0,10,20,4,2018,3
610,305.1,11,11,3.0,10,10,4,2018,3
560,305.1,11,11,10.0,9,20,4,2018,3
570,305.1,11,11,5.0,9,30,4,2018,3
550,305.1,11,11,6.0,9,10,4,2018,3
540,305.1,11,11,4.0,9,0,4,2018,3
420,329.8,49,49,1.0,7,0,3,2017,1
425,329.8,49,49,5.0,7,5,3,2017,1
530,305.1,11,11,5.0,8,50,4,2018,3
520,305.1,11,11,9.0,8,40,4,2018,3
510,305.1,11,11,9.0,8,30,4,2018,3
429,329.8,49,49,1.0,7,9,3,2017,1
500,305.1,11,11,6.0,8,20,4,2018,3
490,305.1,11,11,10.0,8,10,4,2018,3
480,305.1,11,11,10.0,8,0,4,2018,3
470,305.1,11,11,10.0,7,50,4,2018,3
428,329.8,49,49,3.0,7,8,3,2017,1
460,305.1,11,11,6.0,7,40,4,2018,3
422,305.1,49,49,11.0,7,2,4,2018,3
432,370.4,49,49,1.0,7,12,3,2017,1
423,305.1,49,49,11.0,7,3,4,2018,3
450,305.1,11,11,7.0,7,30,4,2018,3
440,305.1,11,11,10.0,7,20,4,2018,3
434,329.8,49,49,1.0,7,14,3,2017,1
435,305.1,49,49,11.0,7,15,4,2018,3
418,305.1,11,11,10.0,6,58,4,2018,3
420,305.1,11,11,11.0,7,0,4,2018,3
410,279.4,11,11,10.0,6,50,3,2017,1
410,305.1,11,11,9.0,6,50,4,2018,3
425,305.1,49,49,2.0,7,5,4,2018,3
400,305.1,11,11,4.0,6,40,4,2018,3
340,305.1,11,11,1.0,5,40,4,2018,3
400,279.4,11,11,11.0,6,40,3,2017,1
390,279.4,11,11,10.0,6,30,3,2017,1
426,305.1,49,49,22.0,7,6,3,2018,3
480,305.1,11,11,8.0,8,0,3,2018,3
580,305.1,11,11,1.0,9,40,3,2018,3
540,305.1,11,11,7.0,9,0,3,2018,3
380,279.4,11,11,9.0,6,20,3,2017,1
427,305.1,49,49,8.0,7,7,3,2018,3
370,279.4,11,11,11.0,6,10,3,2017,1
530,305.1,11,11,9.0,8,50,3,2018,3
360,279.4,11,11,11.0,6,0,3,2017,1
500,305.1,11,11,2.0,8,20,3,2018,3
520,305.1,11,11,11.0,8,40,3,2018,3
350,279.4,11,11,11.0,5,50,3,2017,1
340,279.4,11,11,11.0,5,40,3,2017,1
510,305.1,11,11,10.0,8,30,3,2018,3
330,279.4,11,11,11.0,5,30,3,2017,1
350,305.1,11,11,1.0,5,50,3,2018,3
490,305.1,11,11,1.0,8,10,3,2018,3
470,305.1,11,11,8.0,7,50,3,2018,3
460,305.1,11,11,6.0,7,40,3,2018,3
658,279.4,11,11,11.0,10,58,3,2017,1
450,305.1,11,11,10.0,7,30,3,2018,3
440,305.1,11,11,9.0,7,20,3,2018,3
418,305.1,11,11,10.0,6,58,3,2018,3
420,305.1,11,11,7.0,7,0,3,2018,3
410,305.1,11,11,8.0,6,50,3,2018,3
421,305.1,49,49,15.0,7,1,3,2018,3
300,17.4,11,11,1.0,5,0,3,2017,1
400,305.1,11,11,10.0,6,40,3,2018,3
426,279.4,49,49,3.0,7,6,6,2017,2
420,329.8,49,49,9.0,7,0,6,2017,2
425,329.8,49,49,3.0,7,5,6,2017,2
390,305.1,11,11,10.0,6,30,3,2018,3
425,305.1,49,49,6.0,7,5,3,2018,3
380,305.1,11,11,6.0,6,20,3,2018,3
370,305.1,11,11,5.0,6,10,3,2018,3
423,305.1,49,49,1.0,7,3,3,2018,3
320,17.4,11,11,1.0,5,20,6,2017,2
434,329.8,49,49,3.0,7,14,6,2017,2
330,305.1,11,11,1.0,5,30,3,2018,3
320,305.1,11,11,1.0,5,20,2,2018,3
510,305.1,11,11,3.0,8,30,2,2018,3
500,305.1,11,11,9.0,8,20,2,2018,3
490,305.1,11,11,10.0,8,10,2,2018,3
426,305.1,49,49,11.0,7,6,2,2018,3
480,305.1,11,11,9.0,8,0,2,2018,3
470,305.1,11,11,11.0,7,50,2,2018,3
460,305.1,11,11,11.0,7,40,2,2018,3
360,305.1,11,11,1.0,6,0,2,2018,3
450,305.1,11,11,3.0,7,30,2,2018,3
350,305.1,11,11,11.0,5,50,2,2018,3
340,305.1,11,11,1.0,5,40,2,2018,3
330,305.1,11,11,1.0,5,30,2,2018,3
300,305.1,11,11,1.0,5,0,1,2018,3
426,305.1,49,49,5.0,7,6,1,2018,3
651,305.1,11,11,1.0,10,51,1,2018,3
650,305.1,11,11,9.0,10,50,1,2018,3
640,305.1,11,11,10.0,10,40,1,2018,3
630,305.1,11,11,8.0,10,30,1,2018,3
620,305.1,11,11,10.0,10,20,1,2018,3
429,329.8,49,49,1.0,7,9,6,2017,3
610,305.1,11,11,11.0,10,10,1,2018,3
434,329.8,49,49,3.0,7,14,6,2017,3
600,305.1,11,11,3.0,10,0,1,2018,3
590,305.1,11,11,6.0,9,50,1,2018,3
580,305.1,11,11,6.0,9,40,1,2018,3
570,305.1,11,11,8.0,9,30,1,2018,3
560,305.1,11,11,8.0,9,20,1,2018,3
550,305.1,11,11,11.0,9,10,1,2018,3
540,305.1,11,11,10.0,9,0,1,2018,3
530,305.1,11,11,4.0,8,50,1,2018,3
520,305.1,11,11,9.0,8,40,1,2018,3
500,305.1,11,11,10.0,8,20,1,2018,3
510,305.1,11,11,8.0,8,30,1,2018,3
423,305.1,49,49,17.0,7,3,1,2018,3
390,279.4,11,11,2.0,6,30,6,2017,3
330,17.4,11,11,1.0,5,30,6,2017,3
426,279.4,49,49,1.0,7,6,6,2017,3
310,17.4,11,11,1.0,5,10,6,2017,3
490,305.1,11,11,10.0,8,10,1,2018,3
480,305.1,11,11,10.0,8,0,1,2018,3
424,329.8,49,49,3.0,7,4,2,2017,4
470,305.1,11,11,8.0,7,50,1,2018,3
433,329.8,49,49,3.0,7,13,2,2017,4
429,361.8,49,49,25.0,7,9,2,2017,4
460,305.1,11,11,8.0,7,40,1,2018,3
421,305.1,49,49,5.0,7,1,1,2018,3
432,370.4,49,49,15.0,7,12,2,2017,4
450,305.1,11,11,11.0,7,30,1,2018,3
424,361.8,49,49,1.0,7,4,2,2017,4
430,361.8,49,49,1.0,7,10,2,2017,4
425,329.8,49,49,5.0,7,5,2,2017,4
434,329.8,49,49,11.0,7,14,2,2017,4
440,305.1,11,11,7.0,7,20,1,2018,3
428,305.1,49,49,5.0,7,8,1,2018,3
418,305.1,11,11,8.0,6,58,1,2018,3
420,305.1,11,11,11.0,7,0,1,2018,3
410,305.1,11,11,8.0,6,50,1,2018,3
400,305.1,11,11,7.0,6,40,1,2018,3
330,305.1,11,11,1.0,5,30,1,2018,3
320,305.1,11,11,1.0,5,20,0,2018,12
426,305.1,49,49,12.0,7,6,0,2018,12
500,305.1,11,11,10.0,8,20,0,2018,12
560,305.1,11,11,3.0,9,20,0,2018,12
427,276.0,49,49,3.0,7,7,2,2017,4
380,305.1,11,11,11.0,6,20,0,2018,12
550,305.1,11,11,1.0,9,10,0,2018,12
490,305.1,11,11,8.0,8,10,0,2018,12
450,305.1,11,11,8.0,7,30,0,2018,12
530,305.1,11,11,4.0,8,50,0,2018,12
520,305.1,11,11,8.0,8,40,0,2018,12
510,305.1,11,11,11.0,8,30,0,2018,12
420,276.0,11,11,5.0,7,0,2,2017,4
480,305.1,11,11,11.0,8,0,0,2018,12
426,276.0,49,49,1.0,7,6,2,2017,4
470,305.1,11,11,9.0,7,50,0,2018,12
460,305.1,11,11,11.0,7,40,0,2018,12
418,305.1,11,11,6.0,6,58,0,2018,12
300,279.4,11,11,4.0,5,0,2,2017,4
1144,305.1,49,49,31.0,19,4,0,2018,12
431,361.8,49,49,1.0,7,11,2,2017,4
380,276.0,11,11,1.0,6,20,2,2017,4
300,17.4,11,11,1.0,5,0,2,2017,4
420,305.1,11,11,8.0,7,0,0,2018,12
410,305.1,11,11,8.0,6,50,0,2018,12
423,305.1,49,49,4.0,7,3,0,2018,12
400,305.1,11,11,7.0,6,40,0,2018,12
425,329.8,49,49,5.0,7,5,4,2017,5
419,305.1,49,49,2.0,6,59,0,2018,12
420,329.8,49,49,6.0,7,0,4,2017,5
428,370.4,49,49,2.0,7,8,4,2017,5
432,370.4,49,49,25.0,7,12,4,2017,5
429,361.8,49,49,27.0,7,9,4,2017,5
424,329.8,49,49,10.0,7,4,4,2017,5
390,305.1,11,11,11.0,6,30,0,2018,12
422,330.6,49,49,1.0,7,2,4,2017,5
434,329.8,49,49,21.0,7,14,4,2017,5
435,305.1,49,49,5.0,7,15,0,2018,12
425,305.1,49,49,3.0,7,5,0,2018,12
426,279.4,49,49,6.0,7,6,4,2017,5
370,305.1,11,11,7.0,6,10,0,2018,12
350,305.1,11,11,1.0,5,50,0,2018,12
330,305.1,11,11,1.0,5,30,0,2018,12
430,361.8,49,49,8.0,7,10,4,2017,5
320,305.1,11,11,6.0,5,20,5,2018,11
300,305.1,11,11,2.0,5,0,5,2018,11
435,370.4,49,49,21.0,7,15,4,2017,5
424,305.1,49,49,1.0,7,4,5,2018,11
426,305.1,49,49,24.0,7,6,5,2018,11
434,305.1,49,49,1.0,7,14,5,2018,11
660,305.1,11,11,1.0,11,0,5,2018,11
658,305.1,11,11,4.0,10,58,5,2018,11
429,329.8,49,49,4.0,7,9,4,2017,5
657,305.1,11,11,6.0,10,57,5,2018,11
656,305.1,11,11,10.0,10,56,5,2018,11
655,305.1,11,11,7.0,10,55,5,2018,11
654,305.1,11,11,11.0,10,54,5,2018,11
653,305.1,11,11,10.0,10,53,5,2018,11
652,305.1,11,11,9.0,10,52,5,2018,11
651,305.1,11,11,11.0,10,51,5,2018,11
650,305.1,11,11,8.0,10,50,5,2018,11
640,305.1,11,11,11.0,10,40,5,2018,11
426,276.0,49,49,10.0,7,6,4,2017,5
630,305.1,11,11,10.0,10,30,5,2018,11
620,305.1,11,11,11.0,10,20,5,2018,11
610,305.1,11,11,10.0,10,10,5,2018,11
600,305.1,11,11,8.0,10,0,5,2018,11
590,305.1,11,11,8.0,9,50,5,2018,11
580,305.1,11,11,11.0,9,40,5,2018,11
570,305.1,11,11,8.0,9,30,5,2018,11
300,17.4,11,11,2.0,5,0,4,2017,5
560,305.1,11,11,11.0,9,20,5,2018,11
540,279.4,11,11,2.0,9,0,4,2017,5
550,305.1,11,11,11.0,9,10,5,2018,11
310,17.4,11,11,1.0,5,10,4,2017,5
540,305.1,11,11,8.0,9,0,5,2018,11
390,279.4,11,11,1.0,6,30,4,2017,5
428,329.8,49,49,2.0,7,8,4,2017,5
330,17.4,11,11,1.0,5,30,4,2017,5
530,305.1,11,11,8.0,8,50,5,2018,11
428,349.0,49,49,2.0,7,8,4,2017,5
424,361.8,49,49,23.0,7,4,4,2017,5
520,305.1,11,11,7.0,8,40,5,2018,11
510,305.1,11,11,10.0,8,30,5,2018,11
500,305.1,11,11,6.0,8,20,5,2018,11
432,370.4,49,49,26.0,7,12,0,2017,6
429,361.8,49,49,15.0,7,9,0,2017,6
490,305.1,11,11,10.0,8,10,5,2018,11
480,305.1,11,11,8.0,8,0,5,2018,11
424,279.4,49,49,1.0,7,4,0,2017,6
470,305.1,11,11,11.0,7,50,5,2018,11
490,279.4,11,11,10.0,8,10,0,2017,6
434,329.8,49,49,9.0,7,14,0,2017,6
460,305.1,11,11,9.0,7,40,5,2018,11
450,305.1,11,11,8.0,7,30,5,2018,11
422,305.1,49,49,1.0,7,2,5,2018,11
421,305.1,49,49,12.0,7,1,5,2018,11
435,305.1,49,49,2.0,7,15,5,2018,11
433,329.8,49,49,2.0,7,13,0,2017,6
550,279.4,11,11,5.0,9,10,0,2017,6
425,329.8,49,49,10.0,7,5,0,2017,6
540,279.4,11,11,11.0,9,0,0,2017,6
530,279.4,11,11,4.0,8,50,0,2017,6
520,279.4,11,11,4.0,8,40,0,2017,6
510,279.4,11,11,5.0,8,30,0,2017,6
422,330.6,49,49,4.0,7,2,0,2017,6
440,305.1,11,11,10.0,7,20,5,2018,11
418,305.1,11,11,11.0,6,58,5,2018,11
424,329.8,49,49,6.0,7,4,0,2017,6
570,276.0,11,11,1.0,9,30,0,2017,6
429,329.8,49,49,5.0,7,9,0,2017,6
410,305.1,11,11,8.0,6,50,5,2018,11
480,279.4,11,11,3.0,8,0,0,2017,6
470,279.4,11,11,4.0,7,50,0,2017,6
460,279.4,11,11,6.0,7,40,0,2017,6
450,279.4,11,11,5.0,7,30,0,2017,6
450,276.0,11,11,3.0,7,30,0,2017,6
440,279.4,11,11,6.0,7,20,0,2017,6
430,279.4,11,11,6.0,7,10,0,2017,6
420,279.4,11,11,5.0,7,0,0,2017,6
420,305.1,11,11,1.0,7,0,5,2018,11
330,305.1,11,11,1.0,5,30,5,2018,11
410,279.4,11,11,9.0,6,50,0,2017,6
390,279.4,11,11,11.0,6,30,0,2017,6
350,279.4,11,11,11.0,5,50,0,2017,6
380,279.4,11,11,11.0,6,20,0,2017,6
370,279.4,11,11,11.0,6,10,0,2017,6
360,279.4,11,11,11.0,6,0,0,2017,6
310,305.1,11,11,1.0,5,10,2,2018,10
300,305.1,11,11,5.0,5,0,2,2018,10
470,276.0,11,11,2.0,7,50,0,2017,6
340,279.4,11,11,11.0,5,40,0,2017,6
426,305.1,49,49,2.0,7,6,2,2018,10
